Board Exam Result,Math Grade,English Grade,Science Grade,Scholar Status,Working Student Status
Failed,94,68,84,Not Scholar,Working Student
Passed,87,79,82,Scholar,Working Student
Passed,72,90,76,Not Scholar,Not Working Student
Passed,71,81,84,Scholar,Not Working Student
Passed,95,69,77,Scholar,Working Student
Failed,83,82,78,Scholar,Not Working Student
Failed,76,97,96,Not Scholar,Working Student
Failed,90,88,88,Scholar,Working Student
Passed,94,89,66,Scholar,Working Student
Failed,94,80,82,Not Scholar,Not Working Student
Passed,84,64,87,Not Scholar,Working Student
Failed,88,73,83,Not Scholar,Not Working Student
Failed,67,82,90,Not Scholar,Working Student
Failed,87,68,69,Not Scholar,Not Working Student
Failed,83,74,79,Not Scholar,Working Student
Passed,73,96,73,Scholar,Not Working Student
Passed,79,87,82,Not Scholar,Working Student
Passed,90,67,71,Not Scholar,Working Student
Passed,86,78,79,Scholar,Not Working Student
Failed,79,95,65,Not Scholar,Not Working Student
Failed,92,83,82,Not Scholar,Working Student
Passed,66,77,88,Scholar,Working Student
Failed,94,87,69,Not Scholar,Working Student
Passed,84,70,79,Scholar,Working Student
Passed,73,87,84,Not Scholar,Not Working Student
Passed,93,91,69,Scholar,Not Working Student
Passed,83,89,75,Not Scholar,Working Student
Passed,75,80,77,Not Scholar,Not Working Student
Passed,75,80,86,Not Scholar,Working Student
Failed,85,83,83,Not Scholar,Not Working Student
Passed,86,87,91,Scholar,Not Working Student
Failed,93,81,71,Scholar,Working Student
Failed,83,64,85,Not Scholar,Not Working Student
Passed,84,82,72,Not Scholar,Not Working Student
Failed,80,65,97,Not Scholar,Working Student
Passed,78,79,85,Not Scholar,Working Student
Passed,81,66,62,Not Scholar,Working Student
Failed,89,78,70,Scholar,Working Student
Failed,80,74,79,Not Scholar,Working Student
Passed,87,79,77,Not Scholar,Not Working Student
Passed,80,90,86,Not Scholar,Working Student
Passed,84,84,76,Not Scholar,Working Student
Passed,79,91,78,Scholar,Not Working Student
Passed,88,85,81,Not Scholar,Working Student
Failed,87,84,73,Scholar,Not Working Student
Failed,73,76,94,Not Scholar,Working Student
Passed,67,89,79,Not Scholar,Working Student
Passed,86,83,73,Scholar,Working Student
Failed,90,80,78,Scholar,Not Working Student
Passed,68,94,78,Not Scholar,Not Working Student
Passed,84,77,92,Scholar,Not Working Student
