Quality of Life,Stress Level,Frequency of Medical Checkup,Employment Status,Age,Religiosity Score
Moderate,High,3.67,Employed,36,5.19
Poor,High,1.8,Employed,43,5.34
Moderate,High,1.81,Employed,42,3.66
Moderate,High,3.04,Employed,27,4.2
Poor,Low,2.51,Employed,70,4.57
Poor,High,0,Employed,32,5.46
Moderate,Moderate,1.16,Employed,76,4.94
Good,Moderate,1.99,Unemployed,39,7.35
Moderate,High,0.63,Employed,68,6.69
Moderate,High,1.53,Employed,65,4.61
Moderate,Moderate,0.66,Employed,38,7.76
Moderate,Moderate,1.63,Employed,76,8.75
Poor,Low,1.66,Unemployed,73,0.91
Moderate,Moderate,2.35,Unemployed,39,6.86
Good,Moderate,1.91,Unemployed,53,3.61
Poor,High,2.5,Unemployed,51,6.6
Good,Moderate,2.38,Unemployed,47,7.48
Good,Low,3.03,Unemployed,42,3.25
Good,Moderate,2.87,Unemployed,62,1.3
Good,High,2.77,Unemployed,45,6.67
Poor,High,5.1,Unemployed,18,5.27
Poor,Moderate,2.35,Unemployed,66,1.66
Good,High,4.59,Unemployed,62,10
Good,Low,2.41,Unemployed,21,6.25
Poor,Low,1.92,Unemployed,24,6.34
Poor,Moderate,1.63,Unemployed,66,7.73
Poor,Moderate,3.51,Unemployed,26,3.84
Moderate,Moderate,3.64,Unemployed,53,5.26
Moderate,High,2.6,Employed,36,2.36
Moderate,Low,3.13,Unemployed,18,3.78
Good,Low,0.72,Employed,27,5.77
Moderate,High,0.45,Unemployed,53,1.67
Good,Low,3.25,Unemployed,26,3.73
Good,Moderate,1.87,Employed,62,3.14
Moderate,Moderate,2.75,Unemployed,63,5.28
Good,Moderate,1.28,Employed,59,6.15
Moderate,Low,3.66,Employed,49,6.48
Moderate,Moderate,0.46,Employed,49,7
Poor,High,0.61,Unemployed,23,7.74
Moderate,High,3.44,Unemployed,65,6.21
Poor,Low,0,Unemployed,55,8.77
Moderate,High,2.38,Employed,34,5.24
Moderate,High,1.89,Employed,27,4.65
Poor,Low,1.26,Unemployed,67,6.21
Poor,Moderate,1.8,Unemployed,44,4.57
Moderate,Moderate,1.15,Unemployed,71,8.71
Good,Moderate,3.54,Unemployed,67,7.26
Poor,Low,3.8,Unemployed,52,6.5
Good,High,1.31,Employed,69,5.26
Good,Moderate,2.28,Employed,76,4.19
Good,Moderate,0.67,Employed,38,6.4
Poor,Low,3.07,Unemployed,42,2.75
Good,Moderate,3.05,Employed,45,8.07
Poor,Low,1.7,Employed,64,4.64
Good,High,2.02,Employed,32,5.61
Moderate,Low,1.91,Employed,21,3.18
Moderate,Low,0.38,Employed,46,6.45
Poor,Low,3.55,Unemployed,76,4.09
Moderate,Low,1.23,Employed,26,6.3
Moderate,High,1.24,Unemployed,44,6.51
Good,High,1.85,Unemployed,43,3.7
Poor,Moderate,3,Unemployed,36,2.75
Good,High,1.41,Unemployed,73,8.06
Good,High,0.05,Unemployed,45,4.62
Good,Moderate,1.11,Employed,34,5.45
Good,High,2.42,Employed,60,5.97
Good,Low,4.19,Unemployed,74,2.49
Good,Low,0.74,Unemployed,58,5.93
Good,Moderate,0.7,Unemployed,59,5.2
Poor,Moderate,0.49,Employed,67,3.71
Moderate,Moderate,0.36,Unemployed,37,2.69
Good,Low,3.21,Employed,62,6.21
Good,High,3.49,Unemployed,57,7.26
Good,Low,2.18,Employed,56,5.36
Good,Moderate,1.53,Unemployed,66,2.13
Good,High,3.79,Employed,70,2.89
Good,High,2.17,Unemployed,40,4.14
Moderate,Low,3.09,Employed,64,8.13
