Quality of Life,Stress Level,Frequency of Medical Checkup,Employment Status,Age,Religiosity Score,Income
Moderate,High,3.67,Employed,36,5.19,58060.4
Poor,High,1.8,Employed,43,5.34,63866.15
Moderate,High,1.81,Employed,42,3.66,26449.65
Moderate,High,3.04,Employed,27,4.2,54737.8
Poor,Low,2.51,Employed,70,4.57,56906.61
Poor,High,0.0,Employed,32,5.46,48907.29
Moderate,Moderate,1.16,Employed,76,4.94,61762.5
Good,Moderate,1.99,Unemployed,39,7.35,78817.51
Moderate,High,0.63,Employed,68,6.69,52073.26
Moderate,High,1.53,Employed,65,4.61,60375.82
Moderate,Moderate,0.66,Employed,38,7.76,74093.97
Moderate,Moderate,1.63,Employed,76,8.75,52423.47
Poor,Low,1.66,Unemployed,73,0.91,36673.05
Moderate,Moderate,2.35,Unemployed,39,6.86,59236.68
Good,Moderate,1.91,Unemployed,53,3.61,16975.01
Poor,High,2.5,Unemployed,51,6.6,15524.49
Good,Moderate,2.38,Unemployed,47,7.48,54995.18
Good,Low,3.03,Unemployed,42,3.25,14825.44
Good,Moderate,2.87,Unemployed,62,1.3,30272.48
Good,High,2.77,Unemployed,45,6.67,44298.52
Poor,High,5.1,Unemployed,18,5.27,39178.75
Poor,Moderate,2.35,Unemployed,66,1.66,47782.9
Good,High,4.59,Unemployed,62,10.0,66693.05
Good,Low,2.41,Unemployed,21,6.25,53577.21
Poor,Low,1.92,Unemployed,24,6.34,37410.19
Poor,Moderate,1.63,Unemployed,66,7.73,70316.62
Poor,Moderate,3.51,Unemployed,26,3.84,28567.14
Moderate,Moderate,3.64,Unemployed,53,5.26,53328.25
Moderate,High,2.6,Employed,36,2.36,26898.71
Moderate,Low,3.13,Unemployed,18,3.78,53784.77
Good,Low,0.72,Employed,27,5.77,45220.59
Moderate,High,0.45,Unemployed,53,1.67,66233.57
Good,Low,3.25,Unemployed,26,3.73,60810.34
Good,Moderate,1.87,Employed,62,3.14,41192.91
Moderate,Moderate,2.75,Unemployed,63,5.28,38315.91
Good,Moderate,1.28,Employed,59,6.15,45273.55
Moderate,Low,3.66,Employed,49,6.48,78133.57
Moderate,Moderate,0.46,Employed,49,7.0,74286.03
Poor,High,0.61,Unemployed,23,7.74,35475.98
Moderate,High,3.44,Unemployed,65,6.21,62003.38
Poor,Low,0.0,Unemployed,55,8.77,24028.53
Moderate,High,2.38,Employed,34,5.24,43289.86
Moderate,High,1.89,Employed,27,4.65,36086.53
Poor,Low,1.26,Unemployed,67,6.21,66039.19
Poor,Moderate,1.8,Unemployed,44,4.57,30639.24
Moderate,Moderate,1.15,Unemployed,71,8.71,56440.25
Good,Moderate,3.54,Unemployed,67,7.26,50010.65
Poor,Low,3.8,Unemployed,52,6.5,47368.27
Good,High,1.31,Employed,69,5.26,75073.74
Good,Moderate,2.28,Employed,76,4.19,76395.46
Good,Moderate,0.67,Employed,38,6.4,47834.11
Poor,Low,3.07,Unemployed,42,2.75,44811.26
Good,Moderate,3.05,Employed,45,8.07,27396.9
Poor,Low,1.7,Employed,64,4.64,49936.12
Good,High,2.02,Employed,32,5.61,79299.55
Moderate,Low,1.91,Employed,21,3.18,48068.97
Moderate,Low,0.38,Employed,46,6.45,60931.39
Poor,Low,3.55,Unemployed,76,4.09,29037.54
Moderate,Low,1.23,Employed,26,6.3,43478.38
Moderate,High,1.24,Unemployed,44,6.51,56936.98
Good,High,1.85,Unemployed,43,3.7,51587.94
Poor,Moderate,3.0,Unemployed,36,2.75,62370.01
Good,High,1.41,Unemployed,73,8.06,40959.92
Good,High,0.05,Unemployed,45,4.62,23750.17
Good,Moderate,1.11,Employed,34,5.45,66831.35
Good,High,2.42,Employed,60,5.97,35957.76
Good,Low,4.19,Unemployed,74,2.49,57599.06
Good,Low,0.74,Unemployed,58,5.93,56762.85
Good,Moderate,0.7,Unemployed,59,5.2,25043.7
Poor,Moderate,0.49,Employed,67,3.71,65736.88
Moderate,Moderate,0.36,Unemployed,37,2.69,41501.49
Good,Low,3.21,Employed,62,6.21,50825.82
Good,High,3.49,Unemployed,57,7.26,44627.26
Good,Low,2.18,Employed,56,5.36,74338.87
Good,Moderate,1.53,Unemployed,66,2.13,70152.35
Good,High,3.79,Employed,70,2.89,22814.98
Good,High,2.17,Unemployed,40,4.14,83882.41
Moderate,Low,3.09,Employed,64,8.13,39825.4
Moderate,Moderate,1.48,Employed,49,4.51,81536.55
Good,Low,2.04,Employed,69,4.06,46156.86
Moderate,High,0.76,Employed,64,1.65,44886.25
Poor,Low,2.63,Employed,50,3.69,46290.08
Good,Low,2.19,Employed,74,2.53,43988.16
Poor,Moderate,1.11,Employed,63,2.99,87865.95
Poor,Moderate,1.12,Unemployed,22,5.24,48854.55
Good,High,3.62,Unemployed,60,4.2,45465.55
Moderate,Low,3.97,Unemployed,65,8.4,51155.16
Poor,Low,1.79,Unemployed,51,7.16,35489.97
Good,Low,2.07,Unemployed,57,3.78,73956.81
Poor,High,2.4,Employed,28,3.17,27933.79
Poor,High,2.15,Employed,78,7.77,40789.87
Poor,Moderate,0.33,Employed,67,8.32,64049.9
Poor,Moderate,2.43,Employed,20,0.61,50635.28
Moderate,Moderate,0.0,Employed,79,5.19,58238.23
Poor,Low,1.27,Unemployed,75,4.5,72997.46
Poor,Low,2.51,Unemployed,50,6.3,65057.02
Poor,Moderate,2.6,Unemployed,28,8.89,52062.15
Moderate,Low,1.19,Unemployed,33,4.03,81340.14
Poor,Moderate,1.54,Employed,35,0.88,40574.96
Poor,High,1.41,Employed,47,6.16,48495.36
Moderate,Moderate,1.9,Employed,65,7.78,49543.4
Moderate,High,1.97,Unemployed,72,4.39,48463.67
Moderate,Low,2.67,Employed,27,3.59,33961.84
Poor,Moderate,1.48,Unemployed,35,4.13,26245.25
Moderate,Low,2.37,Employed,55,6.7,56258.02
Moderate,High,2.51,Employed,36,4.09,40497.89
Poor,High,2.2,Unemployed,53,5.66,78617.13
Moderate,High,1.74,Employed,76,5.06,48911.87
Poor,Low,2.18,Employed,30,4.85,46227.66
Good,Low,2.75,Unemployed,73,6.4,66415.1
Moderate,Low,2.84,Employed,63,4.04,56032.89
Good,Low,3.82,Unemployed,20,4.14,47367.24
Poor,High,1.01,Employed,27,6.6,40389.02
Moderate,High,1.56,Employed,55,3.03,104865.53
Poor,Moderate,0.39,Employed,18,3.24,55426.79
Good,Moderate,2.93,Employed,72,2.48,66266.44
Poor,Low,1.67,Employed,73,6.7,34655.82
Moderate,High,2.21,Employed,44,4.79,41330.22
Moderate,High,1.4,Employed,63,2.37,81685.19
Good,High,1.67,Employed,25,6.71,70953.96
Poor,Moderate,3.22,Unemployed,68,3.89,56864.33
Moderate,Moderate,2.69,Unemployed,63,3.26,44276.44
Good,High,1.89,Employed,59,4.61,46489.46
Moderate,High,2.77,Employed,34,7.96,39858.34
Moderate,High,2.79,Unemployed,26,4.21,32647.26
Poor,Moderate,1.61,Employed,78,6.15,63857.66
Moderate,High,0.53,Employed,23,6.45,58082.47
Poor,High,1.1,Unemployed,60,5.89,61041.18
Moderate,Low,0.66,Employed,42,7.54,44946.53
Good,Low,3.16,Employed,56,3.59,53834.58
Moderate,Moderate,3.34,Unemployed,66,2.91,43519.34
Poor,High,3.59,Employed,77,2.87,39090.38
Poor,High,0.0,Employed,45,4.71,75005.94
Good,Low,3.07,Unemployed,50,3.11,51822.61
Moderate,Moderate,4.21,Employed,71,5.3,57611.82
Moderate,Low,3.11,Unemployed,54,5.15,62536.31
Good,Low,0.0,Employed,26,7.04,52010.61
Moderate,Low,3.77,Employed,35,5.58,53609.49
Moderate,Low,2.04,Unemployed,73,4.17,33700.62
Poor,High,1.77,Unemployed,76,5.82,36558.27
Moderate,High,2.45,Employed,38,2.94,35782.78
Moderate,Low,0.95,Unemployed,19,4.92,59081.88
Good,Moderate,2.0,Unemployed,78,5.64,51063.36
Good,Moderate,3.62,Employed,75,5.26,36559.53
Poor,Moderate,2.62,Employed,60,5.83,58701.48
Moderate,Moderate,2.06,Employed,76,3.71,58151.85
Moderate,Low,2.09,Unemployed,77,7.3,39575.51
Moderate,High,0.82,Unemployed,55,8.64,49582.59
Poor,Moderate,1.85,Unemployed,75,1.79,58207.13
Poor,Low,0.37,Unemployed,57,2.57,37124.67
Good,Moderate,3.02,Employed,53,5.09,58493.4
Poor,Moderate,0.0,Unemployed,67,4.49,54515.35
Moderate,Low,2.85,Employed,77,8.79,35012.0
Moderate,High,2.98,Unemployed,60,5.44,53296.95
Poor,High,3.32,Employed,54,7.79,55484.73
Moderate,Low,2.09,Employed,32,0.9,40609.98
Moderate,High,2.92,Employed,45,6.63,41790.75
Poor,Low,1.84,Unemployed,35,3.57,34873.7
Poor,Low,0.81,Employed,51,3.54,43265.02
Moderate,Low,3.53,Employed,39,4.5,49818.77
Moderate,High,1.9,Unemployed,28,2.15,41832.17
Moderate,Low,0.59,Employed,75,5.89,27726.68
Good,Moderate,1.53,Unemployed,74,5.38,39671.18
Good,High,1.57,Unemployed,30,5.53,43740.62
Good,High,2.46,Employed,21,6.77,62252.58
Poor,High,4.35,Employed,39,8.03,58921.47
Good,High,2.52,Unemployed,24,4.27,62543.32
Poor,Moderate,2.21,Employed,78,5.95,38914.72
Poor,High,4.46,Unemployed,60,5.59,52123.26
Good,High,2.98,Unemployed,71,5.76,13654.3
Good,Low,2.25,Unemployed,41,5.79,56433.81
Good,High,1.52,Employed,21,8.18,59163.47
Moderate,Moderate,2.32,Unemployed,45,4.08,44725.62
Good,Moderate,1.93,Employed,32,1.95,54431.45
Moderate,Moderate,2.09,Employed,18,3.6,27276.14
Poor,Moderate,3.31,Employed,72,6.51,37984.0
Moderate,High,1.46,Employed,20,5.05,61481.74
Good,High,2.51,Unemployed,31,4.06,57668.8
Poor,Moderate,2.95,Employed,55,2.85,43822.18
Poor,Moderate,1.34,Unemployed,67,5.44,62170.43
Poor,High,1.18,Unemployed,74,6.29,52074.47
Moderate,Moderate,1.85,Employed,18,5.61,42436.69
Good,Low,1.54,Unemployed,55,4.49,47257.59
Poor,Moderate,3.15,Unemployed,55,5.29,43168.73
Poor,Moderate,1.0,Employed,38,5.28,32243.36
Poor,Low,2.07,Unemployed,65,5.38,68850.29
Moderate,Low,4.55,Unemployed,46,2.63,41479.63
Moderate,High,2.41,Unemployed,22,5.39,37514.59
