Board Exam Result,Math Grade,English Grade,Science Grade,Scholar Status,Working Student Status
Failed,63,85,77,Scholar,Working Student
Failed,62,69,69,Not Scholar,Not Working Student
Failed,63,64,92,Scholar,Not Working Student
Passed,66,63,82,Not Scholar,Working Student
Failed,94,83,82,Not Scholar,Working Student
Passed,90,85,61,Not Scholar,Working Student
Failed,76,95,98,Not Scholar,Working Student
Passed,89,87,82,Not Scholar,Working Student
Failed,64,88,79,Not Scholar,Not Working Student
Failed,85,61,74,Not Scholar,Not Working Student
Passed,62,80,85,Not Scholar,Working Student
Passed,61,74,67,Not Scholar,Working Student
Passed,79,72,88,Scholar,Working Student
Failed,75,72,83,Scholar,Not Working Student
Passed,72,62,76,Scholar,Not Working Student
Failed,92,96,76,Not Scholar,Not Working Student
Passed,67,92,90,Scholar,Working Student
Passed,100,61,82,Not Scholar,Not Working Student
Passed,71,75,63,Not Scholar,Working Student
Passed,85,88,73,Scholar,Working Student
Passed,73,78,85,Not Scholar,Working Student
Passed,91,94,72,Not Scholar,Not Working Student
Passed,89,74,87,Scholar,Not Working Student
Passed,94,84,73,Scholar,Working Student
Failed,71,65,85,Scholar,Working Student
Failed,83,79,62,Scholar,Working Student
Failed,79,82,92,Not Scholar,Working Student
Failed,86,77,65,Not Scholar,Not Working Student
Passed,78,75,77,Not Scholar,Working Student
Passed,96,94,97,Scholar,Not Working Student
Failed,75,85,80,Scholar,Not Working Student
Passed,61,75,81,Not Scholar,Working Student
Failed,79,62,60,Not Scholar,Working Student
Failed,60,98,86,Scholar,Working Student
Failed,89,70,71,Scholar,Working Student
Failed,83,83,92,Scholar,Working Student
Failed,100,72,71,Not Scholar,Working Student
Passed,64,86,82,Scholar,Not Working Student
Failed,71,79,92,Not Scholar,Working Student
Failed,75,75,67,Not Scholar,Working Student
Failed,96,80,67,Not Scholar,Not Working Student
Failed,76,87,91,Scholar,Not Working Student
Failed,99,69,88,Not Scholar,Not Working Student
Passed,97,75,74,Scholar,Working Student
Failed,91,69,72,Not Scholar,Not Working Student
Passed,99,92,76,Not Scholar,Working Student
Failed,97,93,93,Not Scholar,Working Student
Passed,97,91,100,Not Scholar,Not Working Student
Passed,93,97,96,Not Scholar,Working Student
Passed,67,89,88,Not Scholar,Working Student
Failed,69,83,98,Not Scholar,Working Student
Passed,93,94,75,Scholar,Not Working Student
Passed,78,88,97,Scholar,Not Working Student
Passed,66,95,86,Not Scholar,Working Student
Failed,91,95,74,Scholar,Not Working Student
Passed,95,96,88,Scholar,Working Student
Failed,88,68,65,Scholar,Working Student
Failed,60,88,94,Scholar,Not Working Student
Failed,98,100,75,Not Scholar,Working Student
Passed,100,94,79,Scholar,Working Student
Failed,81,88,94,Not Scholar,Not Working Student
Passed,89,71,69,Scholar,Not Working Student
Passed,67,62,77,Scholar,Working Student
Passed,75,89,85,Not Scholar,Working Student
Passed,64,77,72,Scholar,Working Student
Passed,94,93,79,Scholar,Not Working Student
Failed,67,66,64,Not Scholar,Working Student
Passed,95,75,92,Not Scholar,Not Working Student
Failed,77,70,73,Scholar,Working Student
Passed,79,98,61,Scholar,Not Working Student
Failed,68,70,92,Scholar,Not Working Student
Passed,62,67,73,Not Scholar,Working Student
Passed,91,77,63,Scholar,Not Working Student
Failed,95,78,62,Not Scholar,Working Student
Failed,94,87,98,Scholar,Working Student
Failed,69,75,99,Scholar,Not Working Student
Failed,77,77,88,Not Scholar,Not Working Student
Failed,85,91,67,Not Scholar,Not Working Student
Failed,96,84,81,Scholar,Working Student
Failed,74,98,75,Scholar,Not Working Student
Failed,66,98,86,Not Scholar,Working Student
Passed,84,83,83,Scholar,Working Student
Passed,80,100,73,Scholar,Not Working Student
Passed,98,82,82,Scholar,Not Working Student
Failed,79,74,97,Not Scholar,Working Student
Passed,88,82,98,Scholar,Not Working Student
Passed,94,63,87,Scholar,Not Working Student
Passed,60,76,99,Scholar,Working Student
