Quality of Life,Stress Level,Medical Checkup Frequency,Employment Status,Age,Religiosity Score,Income
Moderate,Moderate,13,Unemployed,40,15.36743062,381509
Good,Low,4,Employed,32,79.10721435,113041
Good,Low,1,Employed,42,46.85798044,135057
Moderate,High,5,Employed,54,24.48089614,249821
Poor,High,0,Unemployed,39,68.02133709,190452
Poor,Moderate,1,Unemployed,45,37.43361537,229465
Poor,High,12,Employed,42,6.477219953,526162
Good,Moderate,9,Employed,44,32.34273553,482342
Moderate,Moderate,14,Unemployed,33,29.91302956,479575
Poor,Moderate,11,Unemployed,41,30.60584529,311571
Good,Moderate,3,Employed,53,25.05134732,445717
Poor,Moderate,8,Unemployed,45,36.04118064,113187
Poor,High,1,Unemployed,47,89.05937601,469491
Good,Moderate,5,Employed,59,82.84997121,151207
Good,Low,7,Employed,36,33.30732961,137739
Moderate,Moderate,4,Employed,34,84.9404255,176167
Good,Low,0,Employed,44,29.6269836,526519
Good,Low,9,Employed,59,73.35583529,151545
Good,Low,6,Employed,55,78.50922039,230956
Moderate,High,7,Employed,48,78.42857717,256059
Moderate,Moderate,13,Employed,44,49.46359404,199128
Poor,High,10,Employed,54,38.78450997,311389
Good,Low,4,Employed,50,21.64905673,551768
Poor,Moderate,4,Unemployed,52,48.96442118,337348
Poor,High,15,Unemployed,49,47.36852604,73167
Moderate,Low,7,Unemployed,43,12.6556343,487270
Moderate,High,1,Employed,57,10.04947592,389606
Poor,Moderate,6,Unemployed,65,73.54140255,263217
Poor,High,11,Unemployed,48,91.46651074,309078
Poor,Moderate,10,Unemployed,64,21.53305275,230275
Good,Low,5,Employed,30,67.83506295,432551
Moderate,Low,1,Employed,43,20.40730584,420379
Moderate,Moderate,8,Employed,51,40.13480042,199341
Poor,High,15,Unemployed,57,10.74986371,575856
Good,Low,10,Employed,33,55.85734217,570498
Moderate,Moderate,15,Employed,31,74.54670382,176727
Moderate,Low,4,Employed,40,52.12708069,407318
Moderate,High,6,Unemployed,44,22.76105786,333029
Moderate,Low,9,Unemployed,53,83.59491109,301718
Poor,High,8,Unemployed,56,72.1629636,257384
Moderate,Moderate,5,Employed,49,32.82722936,394680
Moderate,Moderate,4,Employed,39,11.26978604,389109
Moderate,Low,11,Unemployed,42,8.467615524,60019
Moderate,Low,10,Employed,41,22.12840659,87235
Poor,High,2,Employed,41,25.86402366,379058
Moderate,Moderate,0,Employed,60,66.64266141,180719
Moderate,Low,11,Employed,58,9.130887758,244167
Good,Moderate,8,Employed,64,37.33154064,169086
Good,Moderate,10,Employed,38,54.29021315,297844
Poor,High,5,Employed,45,82.29806253,251990
Poor,High,13,Unemployed,55,19.8405364,80985
Moderate,Moderate,7,Employed,57,69.13498643,514045
Poor,High,9,Unemployed,49,16.24602138,511874
Poor,High,13,Employed,38,38.17098191,305278
Moderate,Moderate,2,Unemployed,42,76.50685744,355600
Poor,High,6,Unemployed,45,75.03531224,374093
Poor,High,2,Employed,60,17.86079093,485218
Good,Low,13,Unemployed,47,14.4654902,390349
Good,Low,2,Unemployed,61,35.24754416,337423
Moderate,Moderate,10,Unemployed,37,91.88520513,589559
Poor,High,9,Unemployed,33,45.50110323,261268
Good,Low,11,Employed,60,41.07770895,54421
Poor,High,2,Unemployed,64,62.45180154,52763
Moderate,High,8,Employed,47,40.06992812,117601
Good,Low,6,Employed,63,71.2718003,361018
Poor,Low,3,Unemployed,48,62.32575097,439554
Poor,High,13,Unemployed,65,55.2975586,360118
Moderate,Moderate,9,Employed,64,95.3656451,542642
Poor,High,13,Unemployed,53,49.37988957,446654
Poor,High,4,Employed,31,3.897236397,321315
Poor,High,15,Unemployed,33,66.94700039,481958
Good,Low,5,Unemployed,47,83.88460158,539440
Poor,High,7,Employed,53,71.16077276,495115
Moderate,Moderate,13,Unemployed,52,12.53008964,349377
Moderate,Low,9,Unemployed,63,7.387041791,590050
Moderate,High,15,Unemployed,63,28.2625606,318104
Good,Low,11,Unemployed,45,52.79098279,285879
Good,Low,6,Employed,42,61.58438944,518827
Poor,High,12,Employed,34,6.07692684,529489
Moderate,Moderate,1,Unemployed,39,50.32704481,442453
Good,Moderate,7,Employed,35,18.37389258,533672
Good,Moderate,6,Unemployed,42,94.48756419,482355
Moderate,High,2,Employed,44,7.49440127,412863
Good,Low,3,Unemployed,59,61.59047337,115734
Poor,Moderate,7,Unemployed,52,63.73048264,181246
Good,Low,15,Employed,48,54.00657153,499919
Good,Low,5,Unemployed,40,63.13896816,227355
Poor,High,15,Unemployed,32,47.55774097,380385
Moderate,Low,8,Employed,33,72.63570177,501923
Moderate,High,15,Employed,52,17.70709219,57909
Moderate,Moderate,11,Employed,48,99.88448272,293888
Poor,Moderate,0,Unemployed,58,79.6548554,462858
Good,Low,12,Unemployed,53,38.15759191,364876
Good,Low,3,Employed,46,97.91339175,222896
Poor,High,7,Unemployed,63,85.63001937,587400
Moderate,Moderate,10,Employed,34,75.80763973,111053
Poor,High,6,Unemployed,60,75.51872742,215664
Moderate,Low,14,Unemployed,51,76.6222818,200590
Good,Low,13,Employed,37,8.776956377,189936
